total_pop,pop_urban,pop_urban_areas,pop_urban_cluster,pop_rural,pop_not_defined,zipcode,statefipscode,stateabbreviation
70,0,0,0,70,0,"30165","01","AL"
9,0,0,0,9,0,"31905","01","AL"
10427,6676,6676,0,3751,0,"35004","01","AL"
7942,6334,6334,0,1608,0,"35005","01","AL"
3121,0,0,0,3121,0,"35006","01","AL"
26225,23735,23735,0,2490,0,"35007","01","AL"
20816,9400,0,9400,11416,0,"35010","01","AL"
124,124,0,124,0,0,"35013","01","AL"
4546,0,0,0,4546,0,"35014","01","AL"
16778,7933,0,7933,8845,0,"35016","01","AL"
2117,0,0,0,2117,0,"35019","01","AL"
27139,27053,27053,0,86,0,"35020","01","AL"
18888,13243,13243,0,5645,0,"35022","01","AL"
25436,15862,15862,0,9574,0,"35023","01","AL"
7933,0,0,0,7933,0,"35031","01","AL"
66,66,0,66,0,0,"35032","01","AL"
3403,0,0,0,3403,0,"35033","01","AL"
5541,3321,0,3321,2220,0,"35034","01","AL"
1581,0,0,0,1581,0,"35035","01","AL"
297,244,244,0,53,0,"35036","01","AL"
14965,11808,11808,0,3157,0,"35040","01","AL"
5831,2204,0,2204,3627,0,"35042","01","AL"
9234,2174,2174,0,7060,0,"35043","01","AL"
7713,4494,0,4494,3219,0,"35044","01","AL"
14870,5677,0,5677,9193,0,"35045","01","AL"
5108,0,0,0,5108,0,"35046","01","AL"
3996,0,0,0,3996,0,"35049","01","AL"
8787,2642,0,2642,6145,0,"35051","01","AL"
277,0,0,0,277,0,"35052","01","AL"
2617,0,0,0,2617,0,"35053","01","AL"
4101,1368,0,1368,2733,0,"35054","01","AL"
19427,14390,0,14390,5037,0,"35055","01","AL"
12630,1125,0,1125,11505,0,"35057","01","AL"
9936,2104,0,2104,7832,0,"35058","01","AL"
414,400,400,0,14,0,"35060","01","AL"
1465,1465,1465,0,0,0,"35061","01","AL"
7944,1809,0,1809,6135,0,"35062","01","AL"
3866,65,0,65,3801,0,"35063","01","AL"
11458,11458,11458,0,0,0,"35064","01","AL"
7232,6831,6831,0,401,0,"35068","01","AL"
265,0,0,0,265,0,"35070","01","AL"
15661,13470,13470,0,2191,0,"35071","01","AL"
5193,0,0,0,5193,0,"35072","01","AL"
2382,1346,1346,0,1036,0,"35073","01","AL"
93,93,0,93,0,0,"35074","01","AL"
13142,3297,0,3297,9845,0,"35077","01","AL"
2082,0,0,0,2082,0,"35078","01","AL"
8810,0,0,0,8810,0,"35079","01","AL"
15881,13892,13892,0,1989,0,"35080","01","AL"
7,0,0,0,7,0,"35082","01","AL"
3268,0,0,0,3268,0,"35083","01","AL"
8933,0,0,0,8933,0,"35085","01","AL"
2115,0,0,0,2115,0,"35087","01","AL"
2238,0,0,0,2238,0,"35089","01","AL"
2719,1040,1040,0,1679,0,"35091","01","AL"
14212,9477,9477,0,4735,0,"35094","01","AL"
7815,0,0,0,7815,0,"35096","01","AL"
1748,0,0,0,1748,0,"35097","01","AL"
1375,0,0,0,1375,0,"35098","01","AL"
16140,8062,2855,5207,8078,0,"35111","01","AL"
801,0,0,0,801,0,"35112","01","AL"
7172,6868,6868,0,304,0,"35114","01","AL"
14118,7167,7167,0,6951,0,"35115","01","AL"
4240,2076,2076,0,2164,0,"35116","01","AL"
5367,3968,3968,0,1399,0,"35117","01","AL"
3138,1501,1501,0,1637,0,"35118","01","AL"
116,95,95,0,21,0,"35119","01","AL"
13842,0,0,0,13842,0,"35120","01","AL"
15570,5250,0,5250,10320,0,"35121","01","AL"
23020,22111,22111,0,909,0,"35124","01","AL"
10456,4886,0,4886,5570,0,"35125","01","AL"
21725,15697,15697,0,6028,0,"35126","01","AL"
10099,9912,9912,0,187,0,"35127","01","AL"
10197,4025,0,4025,6172,0,"35128","01","AL"
3233,195,0,195,3038,0,"35130","01","AL"
4159,0,0,0,4159,0,"35131","01","AL"
3907,382,382,0,3525,0,"35133","01","AL"
1812,817,0,817,995,0,"35135","01","AL"
1796,0,0,0,1796,0,"35136","01","AL"
150,0,0,0,150,0,"35139","01","AL"
3281,0,0,0,3281,0,"35143","01","AL"
10948,2775,0,2775,8173,0,"35146","01","AL"
5468,2770,2770,0,2698,0,"35147","01","AL"
2702,1974,0,1974,728,0,"35148","01","AL"
630,0,0,0,630,0,"35149","01","AL"
18472,12171,0,12171,6301,0,"35150","01","AL"
7632,1260,0,1260,6372,0,"35151","01","AL"
26822,13493,0,13493,13329,0,"35160","01","AL"
3281,108,0,108,3173,0,"35171","01","AL"
2986,0,0,0,2986,0,"35172","01","AL"
25176,19630,19630,0,5546,0,"35173","01","AL"
5041,8,0,8,5033,0,"35175","01","AL"
921,0,0,0,921,0,"35176","01","AL"
3378,0,0,0,3378,0,"35178","01","AL"
8958,388,0,388,8570,0,"35179","01","AL"
13794,0,0,0,13794,0,"35180","01","AL"
706,0,0,0,706,0,"35183","01","AL"
5841,46,0,46,5795,0,"35184","01","AL"
4931,0,0,0,4931,0,"35186","01","AL"
32,32,32,0,0,0,"35187","01","AL"
2715,1428,0,1428,1287,0,"35188","01","AL"
3798,3798,3798,0,0,0,"35203","01","AL"
10337,10337,10337,0,0,0,"35204","01","AL"
19686,19686,19686,0,0,0,"35205","01","AL"
17177,17177,17177,0,0,0,"35206","01","AL"
9010,8817,8817,0,193,0,"35207","01","AL"
14855,14855,14855,0,0,0,"35208","01","AL"
29544,29544,29544,0,0,0,"35209","01","AL"
13952,13322,13322,0,630,0,"35210","01","AL"
26236,25301,25301,0,935,0,"35211","01","AL"
11539,11539,11539,0,0,0,"35212","01","AL"
13185,13185,13185,0,0,0,"35213","01","AL"
19592,18702,18702,0,890,0,"35214","01","AL"
46951,46125,46125,0,826,0,"35215","01","AL"
36408,36408,36408,0,0,0,"35216","01","AL"
13729,13408,13408,0,321,0,"35217","01","AL"
7353,7353,7353,0,0,0,"35218","01","AL"
4834,4834,4834,0,0,0,"35221","01","AL"
7884,7884,7884,0,0,0,"35222","01","AL"
11043,11043,11043,0,0,0,"35223","01","AL"
6094,5930,5930,0,164,0,"35224","01","AL"
31471,31217,31217,0,254,0,"35226","01","AL"
10419,10419,10419,0,0,0,"35228","01","AL"
940,940,940,0,0,0,"35229","01","AL"
1308,1308,1308,0,0,0,"35233","01","AL"
6311,6311,6311,0,0,0,"35234","01","AL"
19484,19484,19484,0,0,0,"35235","01","AL"
49545,47880,47880,0,1665,0,"35242","01","AL"
17328,17328,17328,0,0,0,"35243","01","AL"
32390,32385,32385,0,5,0,"35244","01","AL"
1403,1403,1403,0,0,0,"35254","01","AL"
39878,38972,38972,0,906,0,"35401","01","AL"
21251,20516,20516,0,735,0,"35404","01","AL"
37661,35091,35091,0,2570,0,"35405","01","AL"
13864,12348,12348,0,1516,0,"35406","01","AL"
1060,0,0,0,1060,0,"35441","01","AL"
4972,0,0,0,4972,0,"35442","01","AL"
2009,0,0,0,2009,0,"35443","01","AL"
3699,0,0,0,3699,0,"35444","01","AL"
2234,0,0,0,2234,0,"35446","01","AL"
3460,0,0,0,3460,0,"35447","01","AL"
3880,674,674,0,3206,0,"35452","01","AL"
11127,4602,4602,0,6525,0,"35453","01","AL"
3759,806,806,0,2953,0,"35456","01","AL"
82,0,0,0,82,0,"35457","01","AL"
594,0,0,0,594,0,"35458","01","AL"
872,0,0,0,872,0,"35459","01","AL"
834,0,0,0,834,0,"35460","01","AL"
1952,0,0,0,1952,0,"35461","01","AL"
5061,0,0,0,5061,0,"35462","01","AL"
1749,0,0,0,1749,0,"35463","01","AL"
654,0,0,0,654,0,"35464","01","AL"
6075,0,0,0,6075,0,"35466","01","AL"
221,0,0,0,221,0,"35469","01","AL"
5468,0,0,0,5468,0,"35470","01","AL"
14909,12519,12519,0,2390,0,"35473","01","AL"
6180,2958,380,2578,3222,0,"35474","01","AL"
14507,5107,5107,0,9400,0,"35475","01","AL"
8106,8099,8099,0,7,0,"35476","01","AL"
335,0,0,0,335,0,"35477","01","AL"
1343,0,0,0,1343,0,"35480","01","AL"
3668,0,0,0,3668,0,"35481","01","AL"
3857,294,0,294,3563,0,"35490","01","AL"
10424,7253,0,7253,3171,0,"35501","01","AL"
9068,1405,0,1405,7663,0,"35503","01","AL"
13596,5498,0,5498,8098,0,"35504","01","AL"
2415,0,0,0,2415,0,"35540","01","AL"
3597,0,0,0,3597,0,"35541","01","AL"
1021,0,0,0,1021,0,"35542","01","AL"
1137,0,0,0,1137,0,"35543","01","AL"
673,0,0,0,673,0,"35544","01","AL"
100,0,0,0,100,0,"35545","01","AL"
3901,0,0,0,3901,0,"35546","01","AL"
1558,0,0,0,1558,0,"35548","01","AL"
4341,0,0,0,4341,0,"35549","01","AL"
5605,0,0,0,5605,0,"35550","01","AL"
1044,0,0,0,1044,0,"35552","01","AL"
4680,0,0,0,4680,0,"35553","01","AL"
1186,0,0,0,1186,0,"35554","01","AL"
10177,3408,0,3408,6769,0,"35555","01","AL"
57,0,0,0,57,0,"35559","01","AL"
4340,0,0,0,4340,0,"35563","01","AL"
2361,0,0,0,2361,0,"35564","01","AL"
13485,3922,0,3922,9563,0,"35565","01","AL"
11145,3207,0,3207,7938,0,"35570","01","AL"
895,0,0,0,895,0,"35571","01","AL"
1131,0,0,0,1131,0,"35572","01","AL"
1507,0,0,0,1507,0,"35574","01","AL"
1018,0,0,0,1018,0,"35575","01","AL"
3217,0,0,0,3217,0,"35576","01","AL"
38,0,0,0,38,0,"35577","01","AL"
5833,0,0,0,5833,0,"35578","01","AL"
3136,0,0,0,3136,0,"35579","01","AL"
3791,0,0,0,3791,0,"35580","01","AL"
5778,0,0,0,5778,0,"35581","01","AL"
4093,0,0,0,4093,0,"35582","01","AL"
460,0,0,0,460,0,"35584","01","AL"
1418,0,0,0,1418,0,"35585","01","AL"
4469,0,0,0,4469,0,"35586","01","AL"
1025,0,0,0,1025,0,"35587","01","AL"
4664,0,0,0,4664,0,"35592","01","AL"
1931,0,0,0,1931,0,"35593","01","AL"
7794,0,0,0,7794,0,"35594","01","AL"
34434,34431,34431,0,3,0,"35601","01","AL"
30545,23054,20048,3006,7491,0,"35603","01","AL"
2252,0,0,0,2252,0,"35610","01","AL"
25251,14907,0,14907,10344,0,"35611","01","AL"
20546,10175,2995,7180,10371,0,"35613","01","AL"
7456,2257,0,2257,5199,0,"35614","01","AL"
68,0,0,0,68,0,"35615","01","AL"
4043,0,0,0,4043,0,"35616","01","AL"
1870,0,0,0,1870,0,"35618","01","AL"
5135,0,0,0,5135,0,"35619","01","AL"
8868,491,0,491,8377,0,"35620","01","AL"
2852,0,0,0,2852,0,"35621","01","AL"
7388,0,0,0,7388,0,"35622","01","AL"
32629,32499,32499,0,130,0,"35630","01","AL"
20877,8266,8266,0,12611,0,"35633","01","AL"
9711,3326,3326,0,6385,0,"35634","01","AL"
24267,13484,13484,0,10783,0,"35640","01","AL"
2941,0,0,0,2941,0,"35643","01","AL"
